iter	Logloss
0	0.6579626815
1	0.62636232
2	0.6012470402
3	0.5739771092
4	0.556705757
5	0.537509719
6	0.5236882921
7	0.5101212288
8	0.4990888309
9	0.4867394901
10	0.4784652499
11	0.471242881
12	0.4626726558
13	0.4560125624
14	0.4516214265
15	0.4459574563
16	0.4413818547
17	0.4376955151
18	0.4330156584
19	0.4288963056
20	0.4257637117
21	0.4221644967
22	0.4190759409
23	0.4164741138
24	0.4142596606
25	0.4121925939
26	0.4100762757
27	0.4083882052
28	0.4071070806
29	0.4051615971
30	0.4028932429
31	0.4015034136
32	0.3997751754
33	0.3985516135
34	0.3972112362
35	0.3958865689
36	0.3946938725
37	0.3935314319
38	0.3925618376
39	0.3914114533
40	0.3905982112
41	0.3901412856
42	0.3894722881
43	0.3892330419
44	0.3884141563
45	0.3872304014
46	0.3864848444
47	0.3858734192
48	0.3852348699
49	0.3847440417
50	0.3838437531
51	0.383005547
52	0.3821014886
53	0.3811166696
54	0.380545198
55	0.3798260894
56	0.3794372531
57	0.3787244415
58	0.3781113823
59	0.3778007382
60	0.3773785529
61	0.3768351436
62	0.3763873951
63	0.3761369324
64	0.3752972344
65	0.3750575615
66	0.3742869518
67	0.3735818365
68	0.3731174853
69	0.3727374311
70	0.3724958446
71	0.3721176103
72	0.3716903144
73	0.3713094702
74	0.3709155069
75	0.3702320453
76	0.3698013
77	0.3693573251
78	0.369123995
79	0.3686140507
80	0.3683373927
81	0.3680564348
82	0.3680177983
83	0.3676744894
84	0.3673531544
85	0.3670194849
86	0.3663727708
87	0.3657578691
88	0.3656524405
89	0.3652502061
90	0.365052527
91	0.3646076986
92	0.3642164318
93	0.3639356634
94	0.3634753432
95	0.3631396005
96	0.3627322911
97	0.3622465842
98	0.3618853314
99	0.3614044444
100	0.3609815794
101	0.3607797895
102	0.3603814779
103	0.3600333712
104	0.3594478259
105	0.3593464697
106	0.3588975123
107	0.358673629
108	0.358465441
109	0.35811626
110	0.357602936
111	0.3572598869
112	0.3571852122
113	0.3570798185
114	0.3566982352
115	0.3565194901
116	0.356316089
117	0.3560726351
118	0.3557841278
119	0.3554866861
120	0.3552023535
121	0.3549460658
122	0.3546543829
123	0.3544310033
124	0.3541465988
125	0.3538091237
126	0.3533585601
127	0.3529132566
128	0.3524041902
129	0.3521852684
130	0.3517629131
131	0.3512146293
132	0.3510454042
133	0.350784197
134	0.3504385256
135	0.3501742045
136	0.3499254208
137	0.3495439634
138	0.3492260517
139	0.3489803292
140	0.3488627552
141	0.3486893972
142	0.3483450677
143	0.3478076639
144	0.3475971487
145	0.3473428504
146	0.3471263991
147	0.3468528752
148	0.3463740606
149	0.3462500756
150	0.346109304
151	0.3457937629
152	0.3455056135
153	0.3453776431
154	0.3451615237
155	0.3447531796
156	0.3445484976
157	0.344180703
158	0.3438128157
159	0.3435525839
160	0.3432691384
161	0.3428693864
162	0.3424360825
163	0.3423919661
164	0.3422390526
165	0.3420794395
166	0.3418050642
167	0.3415744306
168	0.3413590822
169	0.3410494066
170	0.3406389115
171	0.3403913957
172	0.3402720374
173	0.3399805114
174	0.3395155032
175	0.3392403797
176	0.3390995911
177	0.3386793075
178	0.3383461685
179	0.3380271633
180	0.3376441481
181	0.3372373072
182	0.337102084
183	0.3368541037
184	0.3365520841
185	0.3364088777
186	0.336213187
187	0.3359167435
188	0.3354980331
189	0.3351920766
190	0.3348065246
191	0.3345555271
192	0.3343260284
193	0.3340906462
194	0.3337295606
195	0.3333765657
196	0.3331899575
197	0.3329979163
198	0.3327906499
