iter	Passed	Remaining
0	164	164045
1	173	86467
2	178	59195
3	183	45579
4	187	37230
5	191	31651
6	195	27741
7	201	24935
8	205	22593
9	209	20695
10	213	19198
11	218	18015
12	222	16903
13	226	15968
14	231	15207
15	235	14478
16	239	13821
17	243	13261
18	247	12791
19	251	12327
20	255	11906
21	261	11602
22	264	11252
23	268	10923
24	272	10640
25	277	10379
26	281	10136
27	285	9901
28	290	9712
29	294	9531
30	299	9365
31	303	9183
32	307	9000
33	312	8876
34	316	8728
35	320	8587
36	325	8472
37	328	8325
38	332	8203
39	336	8081
40	340	7966
41	344	7860
42	348	7760
43	351	7627
44	355	7536
45	359	7447
46	363	7361
47	366	7274
48	371	7201
49	374	7123
50	378	7051
51	382	6980
52	387	6924
53	391	6861
54	395	6797
55	399	6741
56	404	6687
57	408	6631
58	412	6575
59	416	6517
60	420	6474
61	424	6421
62	428	6370
63	432	6324
64	436	6278
65	440	6239
66	444	6193
67	448	6152
68	453	6112
69	457	6072
70	460	6028
71	464	5991
72	468	5955
73	473	5923
74	477	5886
75	481	5849
76	485	5819
77	489	5788
78	494	5759
79	497	5726
80	502	5698
81	507	5680
82	510	5635
83	514	5609
84	519	5595
85	524	5574
86	529	5551
87	533	5530
88	539	5521
89	543	5495
90	547	5473
91	552	5451
92	556	5426
93	561	5411
94	566	5401
95	572	5394
96	579	5399
97	584	5382
98	589	5361
99	593	5339
100	598	5324
101	602	5300
102	605	5276
103	609	5252
104	613	5231
105	617	5210
106	621	5188
107	625	5164
108	628	5141
109	633	5122
110	636	5100
111	640	5081
112	644	5060
113	648	5040
114	652	5018
115	655	4998
116	660	4983
117	665	4973
118	669	4958
119	674	4944
120	678	4931
121	682	4913
122	686	4896
123	690	4879
124	695	4865
125	698	4846
126	703	4833
127	707	4818
128	711	4804
129	716	4793
130	720	4779
131	724	4767
132	729	4755
133	733	4740
134	737	4725
135	741	4711
136	746	4700
137	750	4688
138	754	4673
139	758	4661
140	763	4648
141	767	4636
142	770	4620
143	775	4607
144	779	4595
145	783	4584
146	787	4569
147	792	4561
148	796	4550
149	800	4538
150	804	4525
151	809	4517
152	813	4504
153	817	4491
154	821	4479
155	826	4470
156	830	4456
157	833	4443
158	837	4431
159	842	4421
160	846	4409
161	850	4398
162	854	4387
163	858	4375
164	862	4363
165	866	4352
166	870	4341
167	874	4333
168	879	4322
169	883	4312
170	887	4301
171	891	4292
172	895	4281
173	899	4271
174	903	4261
175	907	4250
176	911	4239
177	915	4230
178	920	4220
179	924	4210
180	927	4198
181	931	4187
182	936	4179
183	940	4171
184	945	4165
185	949	4153
186	953	4145
187	958	4138
188	961	4126
189	965	4117
190	971	4112
191	975	4105
192	979	4095
193	983	4085
194	988	4080
195	992	4069
196	995	4059
197	999	4049
198	1004	4043
199	1008	4032
200	1011	4022
201	1016	4015
202	1020	4007
203	1024	3996
204	1027	3985
205	1031	3976
206	1036	3969
207	1040	3961
208	1044	3951
209	1048	3942
210	1052	3935
211	1056	3927
212	1060	3919
213	1065	3913
214	1070	3907
215	1073	3898
216	1077	3888
217	1082	3883
218	1086	3874
219	1090	3867
220	1095	3861
221	1101	3860
222	1105	3850
223	1109	3842
224	1115	3840
225	1119	3832
226	1122	3823
227	1126	3814
228	1130	3807
229	1134	3798
230	1138	3791
231	1142	3782
232	1146	3774
233	1150	3767
234	1154	3758
235	1158	3749
236	1162	3742
237	1166	3734
238	1170	3726
239	1173	3717
240	1178	3711
241	1182	3704
242	1187	3699
243	1192	3693
244	1197	3688
245	1200	3680
246	1204	3672
247	1208	3665
248	1212	3657
249	1217	3651
250	1220	3643
251	1224	3635
252	1228	3626
253	1231	3617
254	1235	3608
255	1239	3603
256	1243	3596
257	1247	3588
258	1251	3579
259	1255	3572
260	1259	3565
261	1263	3557
262	1266	3549
263	1270	3542
264	1274	3536
265	1278	3528
266	1282	3520
267	1286	3513
268	1290	3506
269	1294	3498
270	1297	3491
271	1301	3483
272	1305	3475
273	1308	3467
274	1312	3459
275	1316	3453
276	1319	3444
277	1323	3437
278	1327	3430
279	1330	3422
280	1334	3415
281	1338	3408
282	1343	3402
283	1347	3396
284	1350	3388
285	1355	3382
286	1358	3375
287	1362	3367
288	1365	3360
289	1370	3354
290	1373	3346
291	1377	3339
292	1380	3331
293	1384	3324
294	1388	3317
295	1392	3310
296	1395	3303
297	1400	3298
298	1403	3291
299	1407	3283
300	1410	3275
301	1413	3268
302	1418	3262
303	1421	3255
304	1425	3247
305	1428	3240
306	1432	3234
307	1436	3226
308	1440	3220
309	1443	3213
310	1447	3206
311	1451	3199
312	1454	3193
313	1458	3187
314	1462	3179
315	1466	3174
316	1470	3167
317	1473	3160
318	1477	3154
319	1481	3148
320	1485	3141
321	1488	3134
322	1491	3127
323	1495	3120
324	1499	3114
325	1503	3107
326	1506	3100
327	1510	3094
328	1514	3088
329	1518	3082
330	1521	3074
331	1524	3067
332	1528	3062
333	1532	3055
334	1535	3048
335	1539	3042
336	1543	3037
337	1547	3031
338	1551	3025
339	1554	3018
340	1558	3012
341	1562	3006
342	1566	2999
343	1569	2993
344	1573	2987
345	1577	2982
346	1581	2976
347	1585	2969
348	1588	2963
349	1592	2957
350	1596	2951
351	1599	2945
352	1603	2938
353	1606	2931
354	1610	2925
355	1613	2919
356	1617	2913
357	1621	2907
358	1625	2902
359	1629	2896
360	1632	2890
361	1637	2885
362	1641	2880
363	1645	2874
364	1649	2870
365	1653	2864
366	1657	2858
367	1661	2852
368	1664	2846
369	1668	2840
370	1671	2834
371	1675	2828
372	1679	2822
373	1682	2816
374	1686	2811
375	1690	2805
376	1694	2800
377	1698	2794
378	1701	2788
379	1706	2783
380	1709	2777
381	1713	2772
382	1717	2766
383	1721	2761
384	1725	2755
385	1728	2749
386	1732	2743
387	1736	2738
388	1740	2734
389	1744	2728
390	1748	2723
391	1752	2717
392	1756	2712
393	1759	2706
394	1763	2701
395	1767	2696
396	1771	2691
397	1775	2685
398	1779	2680
399	1782	2674
400	1786	2669
401	1790	2663
402	1794	2657
403	1797	2651
404	1801	2647
405	1806	2642
406	1809	2636
407	1813	2631
408	1817	2625
409	1821	2620
410	1824	2615
411	1828	2609
412	1831	2603
413	1835	2598
414	1839	2592
415	1843	2587
416	1846	2581
417	1850	2576
418	1854	2571
419	1857	2565
420	1861	2560
421	1865	2555
422	1869	2549
423	1872	2544
424	1876	2538
425	1879	2532
426	1883	2527
427	1887	2522
428	1891	2517
429	1894	2511
430	1897	2505
431	1901	2500
432	1905	2495
433	1909	2489
434	1912	2484
435	1916	2479
436	1920	2473
437	1923	2467
438	1926	2462
439	1929	2456
440	1933	2451
441	1938	2446
442	1941	2441
443	1944	2435
444	1948	2430
445	1952	2424
446	1955	2418
447	1958	2413
448	1962	2407
449	1965	2402
450	1969	2397
451	1972	2391
452	1976	2386
453	1980	2381
454	1984	2376
455	1988	2371
456	1991	2366
457	1995	2361
458	1998	2355
459	2002	2350
460	2005	2345
461	2009	2340
462	2013	2335
463	2017	2330
464	2020	2324
465	2023	2318
466	2027	2314
467	2031	2309
468	2034	2303
469	2038	2298
470	2041	2293
